B4,Número,Porcentaje
Ser ingresado de forma involuntaria,24,46.15
Ser contenido mecánicamente,16,30.77
Recibir medicación contra tu voluntad,17,32.69
No ser informado de la medicación que se te daba,26,50
No ser informado sobre el diagnóstico que se te atribuía,22,42.31
No recibir información sobre efectos secundarios y a largo plazo ni sobre alternativas al tratamiento propuesto,32,61.54
Ver desatendida tu salud física por falta de credibilidad hacia tu narrativa o por considerarse de menor importancia,16,30.77
Ver desatendidos tus deseos de disminuir o retirar algún fármaco,17,32.69
"Ser humillado, vejado, ninguneado... por parte de tus profesionales",8,15.38
Haber recibido cualquier clase de abusos y violencia sexual por parte de profesionales,4,7.69
Haber recibido cualquier clase de abusos y violencia sexual por parte de cualquier persona en una situación de ingreso psiquiátrico,2,3.85
Haber visto desoídas tus quejas y reclamaciones por cualquiera de las anteriores violencias tras haberte atrevido a señalarlas o denunciarlas,10,19.23
Otro tipo de violencias,5,9.62
